aflgo,openssl_6_5,19.81,19.81,19.81,19.81,19.81,19.81,19.81,19.81,19.81,19.81
aflgo,openssl_6_6,14.70,14.70,14.70,14.70,14.70,14.70,14.70,14.70,14.70,14.70
aflgo,openssl_7_2,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16
aflgo,openssl_7_4,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
aflgo,openssl_8_1,13.63,13.61,13.60,13.63,13.59,13.63,13.64,13.63,13.64,13.61
aflgo,openssl_9_1,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64
aflgo,php_11_2,2.23,2.23,2.23,2.22,2.23,2.23,2.23,2.23,2.23,2.23
aflgo,php_15_2,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
aflgo,php_16_3,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42
aflgo,php_4_1,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
aflgo,php_6_2,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
aflgo,poppler_17_1,38.93,38.93,38.93,38.93,38.93,38.93,38.93,38.93,38.93,38.93
aflgo,poppler_3_1,38.93,38.93,38.93,38.93,38.93,38.93,38.93,38.93,38.93,38.93
aflgo,poppler_9_1,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95
aflgo,sqlite3_18_1,56.74,56.74,56.74,56.74,56.74,56.74,56.74,56.74,56.74,56.74
aflgo,sqlite3_20_1,57.28,57.28,57.28,57.28,57.28,57.28,57.28,57.28,57.28,57.28
afl,libpng_4_1,34.11,34.09,33.96,33.98,34.09,33.94,34.08,33.96,33.98,34.09
afl,libsndfile_15_1,29.34,29.34,29.34,29.34,29.34,29.34,29.34,29.34,29.34,29.34
afl,libsndfile_2_1,29.34,29.34,29.34,29.34,29.34,29.34,29.34,29.34,29.34,29.34
afl,libsndfile_7_1,29.39,29.39,29.39,29.39,29.39,29.39,29.39,29.39,29.39,29.39
afl,libtiff_10_1,44.85,44.85,44.85,44.85,44.85,44.85,44.85,44.85,44.85,44.85
afl,libtiff_6_1,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76
afl,libtiff_7_1,44.81,44.80,44.81,44.80,44.81,44.80,44.80,44.80,44.80,44.81
afl,libtiff_9_1,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76
afl,libxml2_10_2,20.33,20.34,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33
afl,libxml2_1_2,20.35,20.35,20.34,20.35,20.35,20.35,20.35,20.35,20.35,20.35
afl,libxml2_12_2,20.35,20.35,20.36,20.35,20.35,20.35,20.35,20.35,20.35,20.35
afl,libxml2_14_1,22.07,22.08,22.08,22.08,22.09,22.08,22.08,22.07,22.09,22.09
afl,libxml2_15_1,22.09,22.07,22.08,22.08,22.09,22.08,22.08,22.09,22.09,22.09
afl,libxml2_16_1,22.09,22.09,22.08,22.08,22.08,22.09,22.08,22.08,22.08,22.08
afl,libxml2_16_2,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.32
afl,libxml2_2_1,22.08,22.10,22.07,22.09,22.09,22.09,22.08,22.08,22.08,22.08
afl,libxml2_8_1,22.11,22.10,22.11,22.10,22.11,22.09,22.10,22.11,22.09,22.11
afl,openssl_10_5,19.83,19.83,19.83,19.83,19.83,19.83,19.83,19.83,19.83,19.83
afl,openssl_11_4,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
afl,openssl_11_6,14.71,14.71,14.70,14.70,14.70,14.70,14.70,14.70,14.70,14.70
afl,openssl_12_6,14.70,14.70,14.70,14.70,14.70,14.70,14.70,14.70,14.70,14.70
afl,openssl_1_3,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70
afl,openssl_13_2,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16
afl,openssl_1_5,19.84,19.84,19.84,19.84,19.84,19.84,19.84,19.84,19.84,19.84
afl,openssl_16_6,14.72,14.72,14.72,14.72,14.72,14.72,14.72,14.72,14.72,14.72
afl,openssl_17_2,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16
afl,openssl_17_4,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
afl,openssl_18_5,19.81,19.81,19.81,19.81,19.81,19.81,19.81,19.81,19.81,19.81
afl,openssl_19_1,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64
afl,openssl_20_3,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70
afl,openssl_20_4,19.74,19.74,19.74,19.74,19.74,19.74,19.74,19.74,19.74,19.74
afl,openssl_4_4,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
afl,openssl_5_1,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64
afl,openssl_6_4,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
afl,openssl_6_5,19.81,19.81,19.81,19.81,19.81,19.81,19.81,19.81,19.81,19.81
afl,openssl_6_6,14.70,14.70,14.70,14.70,14.70,14.70,14.70,14.70,14.70,14.70
afl,openssl_7_2,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16
afl,openssl_7_4,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
afl,openssl_8_1,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64
afl,openssl_9_1,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64
afl,php_11_2,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23
afl,php_15_2,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23
afl,php_16_3,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.37,2.36,2.36
afl,php_4_1,1.99,2.00,2.00,2.00,1.99,1.99,2.00,2.00,2.00,1.99
afl,php_6_2,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23
afl,poppler_17_1,38.93,38.93,38.93,38.93,38.93,38.93,38.93,38.93,38.93,38.93
afl,poppler_3_1,38.24,38.24,38.24,38.24,38.24,38.24,38.24,38.24,38.24,38.24
afl,poppler_9_1,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95
aflpp,libpng_4_1,33.99,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98,33.98
aflpp,libsndfile_15_1,29.34,29.34,29.36,29.34,29.34,29.34,29.34,29.36,29.34,29.34
