#fuzzer,benchmark,driver,run,execs_done,fuzz_time
aflgo,libxml2_12_2,libxml2_xml_read_memory_fuzzer,6,83631,556
aflgo,libxml2_12_2,libxml2_xml_read_memory_fuzzer,9,90991,557
aflgo,libxml2_12_2,libxml2_xml_read_memory_fuzzer,2,262219,557
aflgo,libxml2_12_2,libxml2_xml_read_memory_fuzzer,5,152423,556
aflgo,libxml2_12_2,libxml2_xml_read_memory_fuzzer,7,92712,557
aflgo,libxml2_12_2,libxml2_xml_read_memory_fuzzer,4,83604,557
aflgo,libsndfile_2_1,sndfile_fuzzer,0,423033,567
aflgo,libsndfile_2_1,sndfile_fuzzer,3,456023,568
aflgo,libsndfile_2_1,sndfile_fuzzer,1,425382,567
aflgo,libsndfile_2_1,sndfile_fuzzer,8,456801,567
aflgo,libsndfile_2_1,sndfile_fuzzer,6,457699,567
aflgo,libsndfile_2_1,sndfile_fuzzer,9,458944,567
aflgo,libsndfile_2_1,sndfile_fuzzer,2,451775,568
aflgo,libsndfile_2_1,sndfile_fuzzer,5,452250,567
aflgo,libsndfile_2_1,sndfile_fuzzer,7,454777,567
aflgo,libsndfile_2_1,sndfile_fuzzer,4,448818,568
aflgo,php_4_1,json,0,11639667,599
aflgo,php_4_1,json,3,11668056,599
aflgo,php_4_1,json,1,11601369,599
aflgo,php_4_1,json,8,11749261,599
aflgo,php_4_1,json,6,11774271,599
aflgo,php_4_1,json,9,11749339,600
aflgo,php_4_1,json,2,11408112,599
aflgo,php_4_1,json,5,11300528,599
aflgo,php_4_1,json,7,11787990,599
aflgo,php_4_1,json,4,11610149,599
aflgo,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,0,1587962,546
aflgo,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,3,1538906,545
aflgo,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,1,1615507,545
aflgo,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,8,1540734,543
aflgo,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,6,1576147,544
aflgo,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,9,1474511,547
aflgo,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,2,1550000,546
aflgo,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,5,1535100,545
aflgo,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,7,1521534,547
aflgo,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,4,1644743,545
aflgo,openssl_19_1,asn1,0,209750,519
aflgo,openssl_19_1,asn1,3,207597,519
aflgo,openssl_19_1,asn1,1,204760,519
aflgo,openssl_19_1,asn1,8,206302,518
aflgo,openssl_19_1,asn1,6,204601,516
aflgo,openssl_19_1,asn1,9,203486,517
aflgo,openssl_19_1,asn1,2,202895,519
aflgo,openssl_19_1,asn1,5,201766,520
aflgo,openssl_19_1,asn1,7,204738,519
aflgo,openssl_19_1,asn1,4,203636,516
aflgo,libsndfile_15_1,sndfile_fuzzer,0,471585,568
aflgo,libsndfile_15_1,sndfile_fuzzer,3,357334,566
aflgo,libsndfile_15_1,sndfile_fuzzer,1,476707,568
aflgo,libsndfile_15_1,sndfile_fuzzer,8,460934,566
aflgo,libsndfile_15_1,sndfile_fuzzer,6,460447,565
aflgo,libsndfile_15_1,sndfile_fuzzer,9,410843,565
aflgo,libsndfile_15_1,sndfile_fuzzer,2,451218,566
aflgo,libsndfile_15_1,sndfile_fuzzer,5,449758,566
aflgo,libsndfile_15_1,sndfile_fuzzer,7,448053,565
aflgo,libsndfile_15_1,sndfile_fuzzer,4,457461,566
aflgo,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,0,1480472,549
aflgo,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,3,1515899,550
aflgo,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,1,1565555,550
aflgo,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,8,1556043,547
aflgo,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,6,1540187,551
aflgo,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,9,1594481,547
aflgo,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,2,1594232,550
aflgo,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,5,1519985,551
aflgo,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,7,1534562,546
aflgo,libxml2_2_1,libxml2_xml_reader_for_file_fuzzer,4,1513708,549
aflgo,openssl_8_1,asn1,0,200901,519
aflgo,openssl_8_1,asn1,3,199372,519
aflgo,openssl_8_1,asn1,1,198841,519
aflgo,openssl_8_1,asn1,8,201021,515
aflgo,openssl_8_1,asn1,6,197946,514
aflgo,openssl_8_1,asn1,9,198247,514
aflgo,openssl_8_1,asn1,2,194300,511
aflgo,openssl_8_1,asn1,5,201251,518
aflgo,openssl_8_1,asn1,7,196422,518
aflgo,openssl_8_1,asn1,4,197584,517
aflgo,libxml2_1_2,libxml2_xml_read_memory_fuzzer,0,85043,560
aflgo,libxml2_1_2,libxml2_xml_read_memory_fuzzer,3,85199,560
aflgo,libxml2_1_2,libxml2_xml_read_memory_fuzzer,1,92061,560
aflgo,libxml2_1_2,libxml2_xml_read_memory_fuzzer,8,85032,560
aflgo,libxml2_1_2,libxml2_xml_read_memory_fuzzer,6,85159,560
aflgo,libxml2_1_2,libxml2_xml_read_memory_fuzzer,9,85100,560
aflgo,libxml2_1_2,libxml2_xml_read_memory_fuzzer,2,84987,559
aflgo,libxml2_1_2,libxml2_xml_read_memory_fuzzer,5,85035,560
aflgo,libxml2_1_2,libxml2_xml_read_memory_fuzzer,7,85123,560
aflgo,libxml2_1_2,libxml2_xml_read_memory_fuzzer,4,85165,560
aflgo,openssl_7_2,asn1parse,0,509234,599
aflgo,openssl_7_2,asn1parse,3,553983,600
aflgo,openssl_7_2,asn1parse,1,607051,600
aflgo,openssl_7_2,asn1parse,8,627782,600
aflgo,openssl_7_2,asn1parse,6,543324,599
aflgo,openssl_7_2,asn1parse,9,557246,600
aflgo,openssl_7_2,asn1parse,2,523838,599
aflgo,openssl_7_2,asn1parse,5,551899,599
aflgo,openssl_7_2,asn1parse,7,540891,600
aflgo,openssl_7_2,asn1parse,4,522845,600
aflgo,openssl_4_4,server,0,35642,409
aflgo,openssl_4_4,server,3,34028,403
aflgo,openssl_4_4,server,1,28328,410
aflgo,openssl_4_4,server,8,34905,408
aflgo,openssl_4_4,server,6,35514,409
aflgo,openssl_4_4,server,9,34201,405
aflgo,openssl_4_4,server,2,35047,409
aflgo,openssl_4_4,server,5,34536,405
aflgo,openssl_4_4,server,7,34776,409
aflgo,openssl_4_4,server,4,34881,410
aflgo,php_15_2,exif,0,10238083,599
aflgo,php_15_2,exif,3,10670928,599
aflgo,php_15_2,exif,1,10416075,599
aflgo,php_15_2,exif,8,10535730,599
aflgo,php_15_2,exif,6,10620076,599
aflgo,php_15_2,exif,9,10425652,599
aflgo,php_15_2,exif,2,10255252,599
aflgo,php_15_2,exif,5,10651624,599
aflgo,php_15_2,exif,7,10513582,599
aflgo,php_15_2,exif,4,10655820,599
aflgo,openssl_6_6,x509,0,480994,583
aflgo,openssl_6_6,x509,3,293880,582
aflgo,openssl_6_6,x509,1,455708,583
aflgo,openssl_6_6,x509,8,456305,583
aflgo,openssl_6_6,x509,6,507525,583
aflgo,openssl_6_6,x509,9,459406,583
aflgo,openssl_6_6,x509,2,525152,583
aflgo,openssl_6_6,x509,5,481768,583
aflgo,openssl_6_6,x509,7,415216,583
aflgo,openssl_6_6,x509,4,441667,583
aflgo,libtiff_10_1,tiff_read_rgba_fuzzer,0,3536598,516
aflgo,libtiff_10_1,tiff_read_rgba_fuzzer,3,4951042,516
aflgo,libtiff_10_1,tiff_read_rgba_fuzzer,1,5465859,516
aflgo,libtiff_10_1,tiff_read_rgba_fuzzer,8,NaN,NaN
aflgo,libtiff_10_1,tiff_read_rgba_fuzzer,6,5381312,514
aflgo,libtiff_10_1,tiff_read_rgba_fuzzer,9,5145787,515
aflgo,libtiff_10_1,tiff_read_rgba_fuzzer,2,5585964,515
aflgo,libtiff_10_1,tiff_read_rgba_fuzzer,5,5347150,514
aflgo,libtiff_10_1,tiff_read_rgba_fuzzer,7,4127711,515
aflgo,libtiff_10_1,tiff_read_rgba_fuzzer,4,5669576,515
aflgo,php_6_2,exif,0,9344908,600
aflgo,php_6_2,exif,3,9427206,600
aflgo,php_6_2,exif,1,9539899,600
aflgo,php_6_2,exif,8,9530864,599
aflgo,php_6_2,exif,6,9521284,599
aflgo,php_6_2,exif,9,9545742,599
aflgo,php_6_2,exif,2,9382159,600
aflgo,php_6_2,exif,5,9462858,599
aflgo,php_6_2,exif,7,9505533,599
aflgo,php_6_2,exif,4,9382362,599
aflgo,libxml2_16_1,libxml2_xml_reader_for_file_fuzzer,0,1271412,565
aflgo,libxml2_16_1,libxml2_xml_reader_for_file_fuzzer,3,1305834,565
aflgo,libxml2_16_1,libxml2_xml_reader_for_file_fuzzer,1,1269708,565
aflgo,libxml2_16_1,libxml2_xml_reader_for_file_fuzzer,8,1320596,564
